,Trip Seconds,Fare,Latitude,Longitude,credit
103,360.0,5.85,41.880994471,-87.632746489,0.474
104,60.0,3.25,41.877406123,-87.62197165200001,0.594
105,480.0,5.85,41.880994471,-87.632746489,0.49
106,240.0,5.05,41.884987192,-87.620992913,0.452
107,360.0,5.45,41.880994471,-87.632746489,0.76
108,480.0,6.05,41.880994471,-87.632746489,0.779
109,420.0,5.85,41.880994471,-87.632746489,0.565
110,300.0,5.00,41.880994471,-87.632746489,0.658
111,420.0,6.25,41.884987192,-87.620992913,0.56
112,360.0,5.65,41.880994471,-87.632746489,0.784
113,360.0,5.50,41.880994471,-87.632746489,0.602
114,180.0,4.65,41.880994471,-87.632746489,0.551
115,420.0,6.45,41.880994471,-87.632746489,0.608
116,240.0,4.75,41.880994471,-87.632746489,0.418
117,180.0,4.25,41.880994471,-87.632746489,0.621
118,0.0,3.25,41.880994471,-87.632746489,0.64
119,360.0,5.25,41.880994471,-87.632746489,0.406
120,420.0,6.05,41.884987192,-87.620992913,0.54
121,240.0,5.25,41.884987192,-87.620992913,0.591
122,480.0,6.85,41.880994471,-87.632746489,0.574
123,120.0,4.45,41.880994471,-87.632746489,0.66
124,180.0,5.05,41.884987192,-87.620992913,0.738
125,180.0,4.65,41.884987192,-87.620992913,0.57
126,360.0,5.45,41.880994471,-87.632746489,0.59
127,180.0,4.25,41.880994471,-87.632746489,0.762
128,120.0,4.25,41.877406123,-87.62197165200001,0.532
129,300.0,5.65,41.884987192,-87.620992913,0.738
130,480.0,6.25,41.877406123,-87.62197165200001,0.477
131,180.0,4.50,41.880994471,-87.632746489,0.551
132,780.0,8.50,41.884987192,-87.620992913,0.482
133,0.0,3.25,41.880994471,-87.632746489,0.514
134,480.0,6.25,41.880994471,-87.632746489,0.596
135,120.0,3.85,41.884987192,-87.620992913,0.423
136,0.0,3.25,41.877406123,-87.62197165200001,0.461
137,360.0,5.65,41.880994471,-87.632746489,0.442
138,840.0,8.25,41.880994471,-87.632746489,0.627
139,300.0,5.25,41.884987192,-87.620992913,0.597
140,480.0,5.65,41.880994471,-87.632746489,0.449
141,420.0,6.25,41.880994471,-87.632746489,0.71
142,300.0,5.45,41.880994471,-87.632746489,0.589
143,0.0,3.25,41.880994471,-87.632746489,0.707
144,180.0,5.05,41.880994471,-87.632746489,0.41
145,1620.0,12.25,41.884987192,-87.620992913,0.551
146,300.0,5.25,41.880994471,-87.632746489,0.515
147,240.0,4.85,41.880994471,-87.632746489,0.406
148,180.0,4.65,41.884987192,-87.620992913,0.774
149,480.0,6.65,41.880994471,-87.632746489,0.434
150,420.0,6.05,41.880994471,-87.632746489,0.422
151,120.0,4.05,41.884987192,-87.620992913,0.581
152,480.0,6.05,41.880994471,-87.632746489,0.441
153,540.0,7.25,41.880994471,-87.632746489,0.547
154,180.0,4.45,41.880994471,-87.632746489,0.43
155,360.0,5.85,41.880994471,-87.632746489,0.575
156,360.0,5.65,41.880994471,-87.632746489,0.44
157,360.0,5.85,41.880994471,-87.632746489,0.544
158,300.0,4.85,41.884987192,-87.620992913,0.657
159,360.0,5.85,41.884987192,-87.620992913,0.52
160,0.0,3.25,41.884987192,-87.620992913,0.584
161,180.0,5.65,41.884987192,-87.620992913,0.722
162,420.0,6.00,41.884987192,-87.620992913,0.433
163,240.0,4.84,41.884987192,-87.620992913,0.743
164,0.0,3.25,41.880994471,-87.632746489,0.514
165,180.0,4.75,41.880994471,-87.632746489,0.695
166,420.0,5.85,41.880994471,-87.632746489,0.755
167,1140.0,10.85,41.880994471,-87.632746489,0.425
168,120.0,4.25,41.880994471,-87.632746489,0.683
169,420.0,6.45,41.880994471,-87.632746489,0.515
170,420.0,5.65,41.880994471,-87.632746489,0.639
171,300.0,5.75,41.880994471,-87.632746489,0.686
172,0.0,3.25,41.880994471,-87.632746489,0.74
173,540.0,7.05,41.884987192,-87.620992913,0.497
174,420.0,6.00,41.880994471,-87.632746489,0.574
175,1140.0,11.05,41.884987192,-87.620992913,0.634
176,240.0,5.00,41.880994471,-87.632746489,0.451
177,420.0,5.65,41.880994471,-87.632746489,0.705
178,240.0,5.25,41.877406123,-87.62197165200001,0.664
179,240.0,5.05,41.884987192,-87.620992913,0.687
180,660.0,7.00,41.880994471,-87.632746489,0.448
181,720.0,7.65,41.880994471,-87.632746489,0.778
182,360.0,5.25,41.880994471,-87.632746489,0.681
183,0.0,3.25,41.884987192,-87.620992913,0.644
184,0.0,3.25,41.880994471,-87.632746489,0.778
185,300.0,5.45,41.884987192,-87.620992913,0.64
186,240.0,4.85,41.884987192,-87.620992913,0.404
187,120.0,3.85,41.884987192,-87.620992913,0.603
188,180.0,5.00,41.880994471,-87.632746489,0.584
189,300.0,5.25,41.884987192,-87.620992913,0.518
190,180.0,4.65,41.884987192,-87.620992913,0.414
191,240.0,5.05,41.880994471,-87.632746489,0.437
192,240.0,5.00,41.878865584,-87.625192142,0.498
193,180.0,4.25,41.880994471,-87.632746489,0.798
194,120.0,4.25,41.880994471,-87.632746489,0.666
195,60.0,4.25,41.884987192,-87.620992913,0.664
196,180.0,4.50,41.884987192,-87.620992913,0.571
197,420.0,6.50,41.884987192,-87.620992913,0.718
198,420.0,6.75,41.880994471,-87.632746489,0.588
199,360.0,5.50,41.880994471,-87.632746489,0.67
200,300.0,5.25,41.884987192,-87.620992913,0.715
201,240.0,5.00,41.884987192,-87.620992913,0.461
202,480.0,6.25,41.884987192,-87.620992913,0.685
203,300.0,5.25,41.880994471,-87.632746489,0.476
